animal,measurement,feed_type,side,measurement_type
NA,21.7,saline,NA,sucrose_consumption
NA,17,saline,NA,sucrose_consumption
NA,11.1,saline,NA,sucrose_consumption
NA,6.3,saline,NA,sucrose_consumption
NA,19.3,saline,NA,sucrose_consumption
NA,13.3,saline,NA,sucrose_consumption
NA,8.6,saline,NA,sucrose_consumption
NA,16.7,saline,NA,sucrose_consumption
NA,12.3,saline,NA,sucrose_consumption
NA,17.2,saline,NA,sucrose_consumption
NA,10.1,saline,NA,sucrose_consumption
NA,20.7,saline,NA,sucrose_consumption
NA,10.3,saline,NA,sucrose_consumption
NA,15.3,saline,NA,sucrose_consumption
NA,11.7,saline,NA,sucrose_consumption
NA,19.2,saline,NA,sucrose_consumption
NA,12.3,saline,NA,sucrose_consumption
NA,21.9,saline,NA,sucrose_consumption
NA,9,saline,NA,sucrose_consumption
NA,22,saline,NA,sucrose_consumption
NA,16.1,saline,NA,sucrose_consumption
NA,16.7,saline,NA,sucrose_consumption
NA,9,saline,NA,sucrose_consumption
NA,16.4,saline,NA,sucrose_consumption
NA,24.3,saline,NA,sucrose_consumption
NA,19.8,saline,NA,sucrose_consumption
NA,12.6,saline,NA,sucrose_consumption
NA,18.6,saline,NA,sucrose_consumption
NA,11.2,saline,NA,sucrose_consumption
NA,13.7,saline,NA,sucrose_consumption
NA,20.7,saline,NA,sucrose_consumption
NA,14.9,saline,NA,sucrose_consumption
NA,19.4,saline,NA,sucrose_consumption
NA,12.6,saline,NA,sucrose_consumption
NA,11.8,saline,NA,sucrose_consumption
NA,21.8,saline,NA,sucrose_consumption
NA,11.9,saline,NA,sucrose_consumption
NA,14.7,saline,NA,sucrose_consumption
NA,17.3,saline,NA,sucrose_consumption
NA,13,saline,NA,sucrose_consumption
NA,9.7,saline,NA,sucrose_consumption
NA,9.8,saline,NA,sucrose_consumption
NA,6.4,saline,NA,sucrose_consumption
NA,13.7,saline,NA,sucrose_consumption
NA,12.1,saline,NA,sucrose_consumption
NA,12.3,saline,NA,sucrose_consumption
NA,15.4,saline,NA,sucrose_consumption
NA,15.8,saline,NA,sucrose_consumption
NA,16.9,saline,NA,sucrose_consumption
NA,1.7,saline,NA,sucrose_consumption
NA,9.9,saline,NA,sucrose_consumption
NA,16,saline,NA,sucrose_consumption
NA,23.4,saline,NA,sucrose_consumption
NA,20.4,saline,NA,sucrose_consumption
NA,15.2,saline,NA,sucrose_consumption
NA,10.1,saline,NA,sucrose_consumption
NA,20.2,saline,NA,sucrose_consumption
NA,16.1,saline,NA,sucrose_consumption
NA,20.6,saline,NA,sucrose_consumption
NA,14.6,saline,NA,sucrose_consumption
NA,12.5,saline,NA,sucrose_consumption
NA,16.2,saline,NA,sucrose_consumption
NA,13.1,saline,NA,sucrose_consumption
NA,26.3,saline,NA,sucrose_consumption
NA,13.6,saline,NA,sucrose_consumption
NA,12,saline,NA,sucrose_consumption
NA,8.2,saline,NA,sucrose_consumption
NA,15.2,saline,NA,sucrose_consumption
NA,5.4,saline,NA,sucrose_consumption
NA,22.7,saline,NA,sucrose_consumption
NA,20.7,saline,NA,sucrose_consumption
NA,14.1,saline,NA,sucrose_consumption
NA,9.3,saline,NA,sucrose_consumption
NA,21.6,saline,NA,sucrose_consumption
NA,10.3,saline,NA,sucrose_consumption
NA,15.3,saline,NA,sucrose_consumption
NA,15.8,saline,NA,sucrose_consumption
NA,11.5,saline,NA,sucrose_consumption
NA,12.2,saline,NA,sucrose_consumption
NA,19.2,saline,NA,sucrose_consumption
NA,15.9,saline,NA,sucrose_consumption
NA,21.1,saline,NA,sucrose_consumption
NA,16.4,saline,NA,sucrose_consumption
NA,4.8,saline,NA,sucrose_consumption
NA,7.8,saline,NA,sucrose_consumption
NA,14.3,saline,NA,sucrose_consumption
NA,21.2,saline,NA,sucrose_consumption
NA,18.7,saline,NA,sucrose_consumption
NA,9.5,saline,NA,sucrose_consumption
NA,14.5,saline,NA,sucrose_consumption
NA,8.9,saline,NA,sucrose_consumption
NA,9.5,saline,NA,sucrose_consumption
NA,16.8,saline,NA,sucrose_consumption
NA,12.3,saline,NA,sucrose_consumption
NA,10.5,saline,NA,sucrose_consumption
NA,7.5,saline,NA,sucrose_consumption
NA,27.6,saline,NA,sucrose_consumption
NA,12.7,saline,NA,sucrose_consumption
NA,18.8,saline,NA,sucrose_consumption
NA,17,saline,NA,sucrose_consumption
NA,23.1,saline,NA,sucrose_consumption
NA,19.9,saline,NA,sucrose_consumption
NA,15.2,saline,NA,sucrose_consumption
NA,9.5,saline,NA,sucrose_consumption
NA,22.6,saline,NA,sucrose_consumption
NA,19,saline,NA,sucrose_consumption
NA,6.4,saline,NA,sucrose_consumption
NA,7.8,saline,NA,sucrose_consumption
NA,18,saline,NA,sucrose_consumption
NA,13.3,saline,NA,sucrose_consumption
NA,6.7,saline,NA,sucrose_consumption
NA,17.1,saline,NA,sucrose_consumption
NA,10.3,saline,NA,sucrose_consumption
NA,10.5,saline,NA,sucrose_consumption
NA,12.3,saline,NA,sucrose_consumption
NA,4.4,saline,NA,sucrose_consumption
NA,14.1,saline,NA,sucrose_consumption
NA,8.9,saline,NA,sucrose_consumption
NA,17.4,saline,NA,sucrose_consumption
NA,16,saline,NA,sucrose_consumption
NA,15.5,saline,NA,sucrose_consumption
NA,15.6,saline,NA,sucrose_consumption
NA,14.1,saline,NA,sucrose_consumption
NA,13.7,saline,NA,sucrose_consumption
NA,11.2,saline,NA,sucrose_consumption
NA,23.7,saline,NA,sucrose_consumption
NA,21.7,saline,NA,sucrose_consumption
NA,22.1,saline,NA,sucrose_consumption
NA,17.1,saline,NA,sucrose_consumption
NA,9.4,saline,NA,sucrose_consumption
NA,11.7,saline,NA,sucrose_consumption
NA,14.2,saline,NA,sucrose_consumption
NA,15.6,saline,NA,sucrose_consumption
NA,16.6,saline,NA,sucrose_consumption
NA,10.4,saline,NA,sucrose_consumption
NA,16.4,saline,NA,sucrose_consumption
NA,11.3,saline,NA,sucrose_consumption
NA,13.3,saline,NA,sucrose_consumption
NA,20.4,saline,NA,sucrose_consumption
NA,17.2,saline,NA,sucrose_consumption
NA,13.3,saline,NA,sucrose_consumption
NA,4.6,saline,NA,sucrose_consumption
NA,12.2,saline,NA,sucrose_consumption
NA,11,saline,NA,sucrose_consumption
NA,12.3,saline,NA,sucrose_consumption
NA,17.4,saline,NA,sucrose_consumption
NA,19.3,saline,NA,sucrose_consumption
NA,2.2,saline,NA,sucrose_consumption
NA,24.1,saline,NA,sucrose_consumption
NA,18.6,saline,NA,sucrose_consumption
NA,5.7,saline,NA,sucrose_consumption
NA,17.3,saline,NA,sucrose_consumption
NA,20.1,saline,NA,sucrose_consumption
NA,20.8,saline,NA,sucrose_consumption
NA,15.7,saline,NA,sucrose_consumption
NA,15.8,saline,NA,sucrose_consumption
NA,19.3,saline,NA,sucrose_consumption
NA,31.4,saline,NA,sucrose_consumption
NA,13.1,saline,NA,sucrose_consumption
NA,17.9,saline,NA,sucrose_consumption
NA,2.9,saline,NA,sucrose_consumption
NA,19.6,saline,NA,sucrose_consumption
NA,17.3,saline,NA,sucrose_consumption
NA,13.4,saline,NA,sucrose_consumption
NA,20.3,saline,NA,sucrose_consumption
NA,13.9,saline,NA,sucrose_consumption
NA,26.5,saline,NA,sucrose_consumption
NA,14.4,saline,NA,sucrose_consumption
NA,15,saline,NA,sucrose_consumption
NA,7.2,saline,NA,sucrose_consumption
NA,12,saline,NA,sucrose_consumption
NA,18,saline,NA,sucrose_consumption
NA,7.2,saline,NA,sucrose_consumption
NA,12.9,saline,NA,sucrose_consumption
NA,18.6,saline,NA,sucrose_consumption
NA,14.4,saline,NA,sucrose_consumption
NA,6.4,saline,NA,sucrose_consumption
NA,16.8,saline,NA,sucrose_consumption
NA,9.3,saline,NA,sucrose_consumption
NA,10.7,saline,NA,sucrose_consumption
NA,10,saline,NA,sucrose_consumption
NA,15.3,saline,NA,sucrose_consumption
NA,16.3,saline,NA,sucrose_consumption
NA,5.4,saline,NA,sucrose_consumption
NA,7,saline,NA,sucrose_consumption
NA,12.9,saline,NA,sucrose_consumption
NA,7.1,saline,NA,sucrose_consumption
NA,25,saline,NA,sucrose_consumption
NA,19.9,saline,NA,sucrose_consumption
NA,13.8,saline,NA,sucrose_consumption
NA,9.6,saline,NA,sucrose_consumption
NA,14.8,saline,NA,sucrose_consumption
NA,20.5,saline,NA,sucrose_consumption
NA,16.1,saline,NA,sucrose_consumption
NA,17.9,saline,NA,sucrose_consumption
NA,14.3,saline,NA,sucrose_consumption
NA,17.3,saline,NA,sucrose_consumption
NA,11.9,saline,NA,sucrose_consumption
NA,0.6,saline,NA,sucrose_consumption
NA,14.7,saline,NA,sucrose_consumption
NA,5.7,saline,NA,sucrose_consumption
NA,30.5,saline,NA,sucrose_consumption
NA,19.2,saline,NA,sucrose_consumption
NA,16.7,saline,NA,sucrose_consumption
NA,12.6,saline,NA,sucrose_consumption
NA,22,saline,NA,sucrose_consumption
NA,15.3,saline,NA,sucrose_consumption
NA,23.2,saline,NA,sucrose_consumption
NA,13.4,saline,NA,sucrose_consumption
NA,12.8,saline,NA,sucrose_consumption
NA,18.2,saline,NA,sucrose_consumption
NA,19.9,saline,NA,sucrose_consumption
NA,12.9,saline,NA,sucrose_consumption
NA,21,saline,NA,sucrose_consumption
NA,14.8,saline,NA,sucrose_consumption
NA,13.4,saline,NA,sucrose_consumption
NA,12.4,saline,NA,sucrose_consumption
NA,19.4,saline,NA,sucrose_consumption
NA,20.9,saline,NA,sucrose_consumption
NA,20.6,saline,NA,sucrose_consumption
NA,14.5,saline,NA,sucrose_consumption
NA,13.3,saline,NA,sucrose_consumption
NA,20.6,saline,NA,sucrose_consumption
NA,12.7,saline,NA,sucrose_consumption
NA,10.9,saline,NA,sucrose_consumption
NA,9.3,saline,NA,sucrose_consumption
NA,21.2,saline,NA,sucrose_consumption
NA,21.3,saline,NA,sucrose_consumption
NA,14.6,saline,NA,sucrose_consumption
NA,13.1,saline,NA,sucrose_consumption
NA,17.9,saline,NA,sucrose_consumption
NA,11.5,saline,NA,sucrose_consumption
NA,12.7,saline,NA,sucrose_consumption
NA,14,saline,NA,sucrose_consumption
NA,12.3,saline,NA,sucrose_consumption
NA,10.9,saline,NA,sucrose_consumption
NA,22,saline,NA,sucrose_consumption
NA,23.2,saline,NA,sucrose_consumption
NA,3.1,saline,NA,sucrose_consumption
NA,16.9,saline,NA,sucrose_consumption
NA,12.8,saline,NA,sucrose_consumption
NA,5.7,saline,NA,sucrose_consumption
NA,13.5,saline,NA,sucrose_consumption
NA,9.1,saline,NA,sucrose_consumption
NA,15,saline,NA,sucrose_consumption
NA,15.6,saline,NA,sucrose_consumption
NA,17.4,saline,NA,sucrose_consumption
